comment,author,num_likes,rate
에이 뭐야 왜이렇게 짧아 ㅡ그럼 안돼? 당연하지 빠진내용이 얼마나많아 ㅡ뭐가 빠졌는데? 전투신들이 너무 많이 빠졌잖아 ㅡ이건 스토리 영상인데? 그래도 빠진게 많아 ㅡ뭐가? 어....세부사항들? ㅡ그게없으면 안돼? 당연하지! ㅡ왜? 영화의 재미가 떨어지잖아! ㅡ그래서 이건 재미없어? 아....아니... ㅡ그럼 문제없네? 아니 그래도...! ㅡ뭐가? 아....아몰라,평범한학생1,3,4.647761821746826
아니진짜 마블영화도 개잘만들었고  두억시니님이 요약도 개잘함 다시봐도 개꿀잼,김성민,6,5.58390474319458
My greatest creation is you,유준형,3,-1.0
"2019년이 진짜 영화 좋아하는 사람은 최고의 해였음. 천만영화가 몇개냐? 극한직업, 엔드게임, 기생충, 알라딘, 겨울왕국2, 그리고 준천만인 950만관객 엑시트.  벌써 영화관 못간 지 2년됐다 ㅠㅠ 한달에 한번은 무조건 영화관 갔었는데 코로나 퍼지기 전인 2020년 1월 설연휴에 히트맨 본 뒤 지금까지 1년 3개월간 영화관 한번도 못갔음  ㅠ",ᄋᄋ,10,9.753166198730469
와..이렇게 보니깐 진짜 10년전부터 이 스토리를 구성하는게 보인다 ㅋㅋㅋㅋ,겜마루,11,7.6543803215026855
"뭐뭐하면, 뭐뭐하면...어감이..뭐뭐하자가 더 어울리는거 같네요.",배꾸마,4,2.1338727474212646
"~구요 말투가,,,",김우린,8,3.0885391235351562
아이언맨에 의한 아이언맨을 위한 스토리,노형우,9,6.928956031799316
잉센 보니까 생각나는데 어벤져스에서 아이언맨 스냅하고 타노스가 어린 가모라 만났던 공간에 잉센이 있고 잉센이 당신의 삶은 의미있었나요?(이런대사) 했으면 관객들 오열하고 지렸을 듯  비슷한 댓글이 어디에 있었음,피곤한유저,5,8.161297798156738
요약을 해도 87분ㅋㅋㅋ 진짜 엔드게임때 마블 입문하려면 하다가도 포기하겠네,신영준,5,6.362552642822266
와칸다 포에버....,에치지,5,8.015844345092773
"맘이 너무 아팠던게 페퍼포츠는 아이언맨과 사귀고 난 후 부터 위험하다고 싸우러 가지말라며 그러고 늘 살아서 돌아왔지만 엔드게임 에서는 오히려 가야하는지 망설이던 토니에게 갔다오라고 말했는데 결국 죽어버린게 너무 안타깝다,,",전종호,53,8.587920188903809
어벤저스... 그들은 우리들의 학창시절이었다..,하위,200,8.613210678100586
80분 짜리 영상을 누가 보긴할까 했는데 내가 다봤네..,썸네일 알려주는알바 시급7000원,110,2.703489303588867
퓨리 눈잃은이유 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,H,37,8.407877922058105
11년의 제 인생을 단 1시간 반으로 압축시켜 주셔서 감사합니다.,Karin,6,8.844182968139648
유툽 영상을 앉아서 1시간 넘게 시청한건 처음입니다.,MARA,12,2.1645069122314453
영화 다 보고 보는 사람: 99% 진짜 영화 안보고 보는사람: 1%,justin kim,52,6.426913261413574
소고기요리도 아니고 비프로스트라니...,lGlttoong,7,3.7640745639801025
마블 찐팬으로서 저의 10년을 요약 해준 영상 이나 다를바가 없었네요 하지만 영화의 순서를 개봉 순이 아닌  세계관의 흐름 순으로 배열했다면 처음 보는 분들이 이해가 잘될것 같네요,서원호,3,6.812831878662109
와 이거 정리하는데 머리 터질텐데....진짜 수고하셨습니다 이제야 봐서 한스럽네요,젠암,6,9.153892517089844
한편도 빠짐없이 나올때마다 봤고 이미 다 알고있었던 10여년 마블빠인 저도 이 영상으로 다시한번 감회하게되네요 감사함돠,100z Music,58,8.607719421386719
2000년대 : 해리포터 시리즈 2010년대 : MCU 2020년대는 ??,MonK,3,5.144514560699463
코로나만 아니었어도 작년에 나올 영화들이 몇개였는데 ㅠㅠ스파이더맨 파프롬홈 이후로 너무 고프다 ㅠㅠ,Risel K,152,9.609116554260254
기가막힌다 스토리 지린다 진짜 미쳣다,ayo dgworld,4,9.39657211303711
저의 10대를 90분으로 요약해 주셨네요. 정말 감사합니다..,김재현,240,5.256002426147461
와 진짜 아이언맨 초기에는 이런 큰 그림이 그려질 줄 몰랐음.,윤겸주,591,7.990043640136719
와 이건 진짜 대박 편집이네 미쳣다,첨단센서,7,9.623549461364746
진짜 중요한것만 딱딱 해놓으셨네,김강인,31,7.661343574523926
잉센의 죽음은 시작이고 욘두의 죽음은 감동이고 토니의 죽음은 전설이군,김기만,187,9.089463233947754
"정말 잘봤습니다!! 그런데 중간중간에 ~~하면, 그러면  면 들어가는 문장이 어색하게 자주나오는게 좀 걸려요ㅠ",Dawn Oh,4,7.90088415145874
"너무많은 고생이 있으셨을거같고 요약도 너무 잘해주셔서 너무감사합니다 ㅠㅠ  다만  &#39;~구요&#39;표현의 너무 많은 사용과 같은억양 , 게임공략같은 문법인 &#39;~하면&#39; 혹은 &#39;~되면&#39;이 몰입을 방해해서 아쉽습니다.. ㅠㅠ",환서의 게임끄적임,4,7.434844017028809
그냥 멍하게보다가 채드웍 보자마자 오랜만에 보는얼굴이다라는생각이 나면서 다시는 그의얼굴을 스크린에서 볼수없다는사실에 슬프네요.....,유동연,16,5.09979248046875
~하구요? 이걸 ~하고 로 바꾸고 말끝의 억양을 좀 내리시는게.. 뭔가 중간중간 거슬려서 집중안돼요ㅠㅠ 요약자체는 굳입니당..b,강모,4,8.368480682373047
저 마지막에 릭퓨리가 아니라 딴놈이었다는게 개소름이었음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,정주호,48,9.003552436828613
재밌게 봤는데 ~나면 이라는 말이 문장을 어색하게 만드네요,wyzx z,12,8.881202697753906
욘두...그는 정말 참된 아버지였다,리고도,204,7.930662631988525
닉퓨리 눈 저렇게 된게 가장 어이 없었어,hes Y,52,3.508131504058838
너무 좋은데 광고가 한편 끝날때마다 있네요...,한동윤,4,6.477991104125977
아 진짜 드럽게 재밌네ㅠㅠㅠㅠㅠ,송민호,3,7.948194980621338
아이언맨 1 볼때만 해도 몰랐지 잉센이 지구를 구한사람이 될줄..,국밥,708,9.515704154968262
이분 진짜 요약킹이시네!! 와... 대박!!,이은혜,20,9.167226791381836
좋은 컨텐츠인데 계속 나오는 ~면서  때문에 문장이 너무 어색해져서 아쉽네요,Eugene Kim,46,6.232003688812256
mcu를 보고 싶지만 진입장벽이 점점 높아지고 있는 가운데 이런 정리영상덕에 입문자들이 더 쉽게 접근할 수 있을 것 같아 정말 좋네요 감사합니다.,리액션,32,8.920377731323242
최애인 토르 차애인 아이언맨 애증의 캡아 처음으로 눈물 흐르게 한 그루트와 로켓 영원할 블랙팬서..  마블 덕분에 10년이 행복했어요,르샤마지끄,141,9.122011184692383
요약      가능하다면 전부 다 봐라 그거 만큼 가장 이해 되는 시리즈의 줄거리는 없다,김진욱,14,6.074583053588867
엔드게임 끝에서 아이 엠 아이언맨이라는 문장 듣고 개소름돋았는데ㅋㅋ 아이언맨1 끝에서 토니가 저소리 했던거 떠오르고ㅋㅋㅋ,따끈,3,8.910066604614258
비프로스트가 아니라 바이프로스트 아닌가욤..,유유유,3,6.630932331085205
진짜 캡틴마블은 왜 쳐나온건지 다시봐도 이해가안된다;,D D,10,6.344336986541748
진짜 다른 건 몰라도 영화 나올 때마다 영화관에서 볼 수 있었다는 게 축복이었다 엔드게임 때의 전율은 절대 잊지 못할 듯,B bob,823,9.119460105895996
갑자기 생각난건데 스파이더맨 파프롬홈 쿠키 한국배경 영화였으면 금방 주작이라고 방구석 전문가들에 의해서 까발려질듯,이세현,17,7.804368495941162
지난 10여년간의 기록을 이렇게 ...대단한 영상 너무 잘 감상했습니다. 한 시간 반 동안이 이렇게  순싹 지나가다니....,미스타 지,358,8.87503433227539
정리 진짜 깔끔하네요... 추천 박고 갑니다~  구독까지~,하키,6,8.408928871154785
개인적으로 마블 스토리 정리 원탑 한국인이 가장 좋아하는 전개속도 그 많은 영화 스토리를 핵심만 정리해서 마블 입문자 분들에게 너무 좋은 영상이 된거 같아요 잘보고 갑니다,Im Clown,168,7.671641826629639
진짜 지린다 ㅋㅋㅋㅋㅋ 90분순삭이네 편집자님 대박,히포민,89,10.052597045898438
아진짜 마블...어벤져스 나의 영웅들 당신들 덕분에 나의 10년이 너무나 행복했습니다 늘 영화를기다리고.. 어떨땐 여친과...또 시간이지나 혼자일땐 혼자서... 또 친구들과 늘 영화관에가 관람하며 마지막을 함께했었습니다 .. 나의 영웅들이 다모여 어셈블을외치고 싸울때 그냥 펑펑울었으며 토니가죽었을때 내친구가 죽은거처럼 슬펐어요 실제가아니라 영화 인데말이죠... 분명 휼륭한영화들은 또 만들어질겁니다 하지만 10년이란 세월동안 늘 기다리고 기다리고 또보고 또보고... 이럴수있는 영화가 제가죽기전까지 또 있을지는 모르겠네요...^^ 정말 고맙고 즐거웠습니다 나의영웅...어벤져스!!!,그것이알고싶다,28,8.867015838623047
잠깐만 내일 런닝을 위해 아껴둔다,육메리,28,4.204229354858398
자기전에 보지마세요 진짜 잠못잔다!,Lim,4,3.2961597442626953
토니 스타크는 엄친아..나도 엄친아... 토니는 엄마 친구 아들 나는 엄마하고 친한 아저씨 ㅜㅜ,빠다왕자,20,8.076004028320312
미쳤네... 요약을 잘한게 뭔지알아? 이 영상을 보면서 마지막에는 눈물까지 글썽거리게 감동을 줬다는거야.. 진짜 잘봤습니다,이정오,34,9.091019630432129
만들기 진짜 힘들었겠다,어아,14,1.2335264682769775
너무잘봤습니다 ㅋ편집도 요약도 너무 좋아요. 특히 항상나오는 &#39;ㅇㅇ을 하게되면~ ㅇㅇ는 끝나게됩니다&#39; 이 멘트 중독성있네요 ㅋㅋㅋㅋ,이상열,7,8.354670524597168
마블 시리즈중 유일하게 아쉬운점이 있다면 로드 중령 배역이 바뀐점을 뽑고 싶다.,은율,15,8.256379127502441
이 영상은 분명 떡상할 것임,hyuck Ronald,9,6.151900768280029
유툽에서 1시간 넘게 영상을 보다니... 시간 따 빨렸다...,박관호,29,8.525979995727539
영화 23개를 1편으로 정리했네 ㄷㄷㄷ,이진우,59,6.044402122497559
요약: 오베디아(대머리)에서 타노스(대머리)로 마무리짓는 영화😎 마블덕후지만 아이언맨1부터 스파이더맨: 파프롬 홈까지 정주행 하시면 마블 세계관을 이해하는데 어려움이 없을 꺼에요🥸,홍기연,60,8.806703567504883
영화 한편을 만드셧균요 굿굿,David P,26,8.638017654418945
와... 미쳤네요ㅎㅎ 수고하셨습니다,SW STOP MOTION STUDIO,6,5.309410572052002
와 이걸 다 정리하실줄이야.. 주말에 끝까지 봐볼게요..^^,우우흥,23,5.975992679595947
오...지져스...,hack1412,39,6.995497226715088
