comment,author,num_likes,rate
선바님 보고왔습니다ㅋㅋㅋㅋ,임재민,3,6.066980838775635
제가 딱감독의의도대로 영화를 봤던거네요 박장대소할만한장면도없고 무섭다거나 할만한것도없고... 그냥보면서 피식거리면서 마음껏 영화에대해 까면서봤던기억이납니다.... 뭔가지루할거같은데 뒤가 얼마나 개판인지 궁금하기도해서 끝까지 의미없이 보게되는영화.,꽁보리,30,5.544612407684326
이 영화 심지어 2015년 영화 1970년대 영화가 아닙니다 ㅋㅋㅋㅋ,mk song,3,2.4130358695983887
그래도 다시보니 이건 고의트롤이고 좆레멘타인은 아예 트롤이 만든거고,GALAXY Gen G,50,1.774488925933838
"이건 대놓고 개그물.,",기억전달자,3,2.600783586502075
카메라 구조가 너무 유튜버같아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,니나노,4,4.672228813171387
컨저링을 혼자 봐도 씩씩했던 나인데...졌다..무서운집이란 영화 너에게..내 편안한 밤을 돌리도..,꿀꽃단지,38,1.5412343740463257
이거 티비에 공짜로 하길래 친구랑 3년전에 봤음 정의로 귀신과 맞서싸우는 판타지물이니 보셔요 👍👍,니똥꼬내꺼,4,4.6064133644104
시사회 후기 봤는데 감독님 영화 식견이 대단하다고.. 참신하게 못만든 영화 만들고자 분투했다던데 ㅋㅋㅋㅋ,김시선,4,3.3465538024902344
왜이리 매력적이냐 영화가 ㅋㅋㅋㅋㅋㅋㅋ,Eminor Studio/イーマイナー,10,5.870026111602783
액션신 너무 강력하다... 아저씨를 능가할 액션씬이라니...,띠이용,7,8.14133071899414
가정주부가 집에 혼자 남았을 때의 외로움과 공포를 꽤 잘 표현한 작품입니다 병맛이긴하지만 주제가 없진 않아여,Jungha Yu,5,6.843515872955322
치매 엔딩으로 감동을 잡으려는 무리수는 하지 않은것 같네요 ㅋㅋ 시간나면 봐야겠습니다 ㅎㅎ,sh korta,4,8.36367130279541
이거보고 야동을 끊었습니다,lost phantom,7,3.7616755962371826
이 영화 진짜 무섭습니다. 보다가 온몸에 닭살이 돋을정도로 소름 돋았고 김장하는 장면에서는 빨간 김치를 보고 영화관을 뛰쳐나갈 뻔했습니다. 심장이 약하신 분이라면 보지마세요.   제발.,asdf qwer,3,9.422175407409668
이게 영화라는게 호러 포인트입니다,고혁준,5,5.5393218994140625
컬트영화 자체를 못만든 영화로 만들어버리시면....록키호러픽쳐쇼 보시긴 하고 그런식으로 평하시는건가요? 컬트영화에 대한 이해가 전혀 없으신것같은데,노태희,3,1.1249644756317139
그냥 뇌없이 보는 영화라서 오히려 힐링되는 영화임 ㅇㅋ,도도,79,8.687699317932129
저거 딥웹영상이라해도 믿을듯,네온사인N,58,4.6734843254089355
"이 영화의 명장면은 역시 아줌마가 잠드는 장면이 아닐까요? 저는 일시정지라도 해놓은건줄 알았지만, 실제론 시간이 흐르고 있더군요.",도대,99,7.776607990264893
당연히무료지 이걸돈주고산다면.....,이준서,24,3.8385391235351562
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 유튜브오래봐왔지만 이렇게 웃긴건 처음봤네욬ㅋㅋ,Thank you Google,3,7.2978949546813965
그나저나 디게맛있게먹네 ㅋㅋㅋㅋ토스트맛있겠다,E KAN,9,8.05270004272461
이건 망작이 아니에요. 망작은 목적은 명작인데 못만든게 망작이고 이건 의도부터 저렇게 만들려고 한거니까요. 저 영화는 일부러 저렇게 연출하고 연기한 겁니다.,LKS브라보,558,1.6734000444412231
난 저 배우분 체력이 너무 궁금하다..,할리갈릭,33,7.032058238983154
이 영화를통해 귀신에대한 무서움을 극복했습니다.,이폰,46,7.458998680114746
영화가 아니라 얘들 ucc 숙제 한거 같음..,이태인,141,6.51011323928833
개띵작... 이거 보고 발기부전이 나았습니다...,아마미하루카,551,6.837394714355469
너무심오해서 미천한 나로는 이해가 불가능 하다,애비게일윌리엄스,75,4.390557765960693
이 영화가 없었다면 지금의 한국영화는 없었을 것이다..,jw b,7,3.177974224090576
일반인이 찍는 UCC가 더 영화같을듯,김비눕,22,4.179548740386963
마음껏 욕하고 따라하고 조롱하면서 보라고 만든 영화 보고 왜 저렇게 만들었냐고 하면 진짜 뭐라고 말해야 하나...ㅋㅋ 이래서 우리나라는 다양한 장르의 영화가 나오기 힘들어. 뭐 좀 새로운거나 참신한거 나오면 욕부터 하니 말이다.,kykwj,95,1.7964277267456055
저 아줌마 소드 마스터인갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,임준표,18,3.100628137588501
아닠ㅋㅋㅋㅋㅋㅋ해설개웃기넼ㅋㅋㅋㅋㅋ,박혜리,13,8.043671607971191
계단에서 넘어질까봐 무섭다,성장판프로젝트,4,7.358829021453857
"저번주에 유튜브로 구매했습니다. 처음에는 이게 뭔 영화인가 싶었지만 계속 보니 담고 싶은게 얼마나 많았으면 이렇게 많은 장면을 집어넣었을까 하는 생각도 들었고, 고의적으로 못 만들었다고 하기엔 너무 자연스럽고 충만한 b급 감성도 잘 느낄 수 있어서 재밌게 봤습니다. 후회는 없습니다. 츄라이 츄라이",&blake redon,81,6.3076958656311035
이거 네이버에서 돈주고 봤는데 ㅋㅋㅋ 리뷰도 재밌음,윤수경,7,4.635580062866211
사실 이 영화의 줄거리는 이혼을 한 중년의 여성이 있었습니다. 여성이 이혼을 한 이유는 자신의 아들이 결혼 후 웨딩카로 교통사고가 나서 죽고 나서 정신상태가 이상해집니다. 그러부터 몇년간 힘들게 번 돈으로 오피스텔에서 살던 중 마네킹 2개가 눈에 뛰여 자신의 아들이 생각나 결혼식을 다시 차려 주려고 합니다 놀랍게도 마네킹은 귀신이 빙의한 마네킹이였고 허구의 존재와 싸운줄만 알았던 아주머니는 실제로 귀신과 싸웠습니다 그 도중에 자신의 잠재의식이 깨어났고 귀신으로 부터 승리한 이 영화 무서운 집을 보고 이런 에피소드가 생각났습니다,다재다능창조가,39,7.862095832824707
아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 네이버 평점 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,늦베베 측정위원회,58,1.3317168951034546
주인공의 베사메무쵸는 일주일 전에 본 라라랜드를 잊기에 충분했다,김건,114,8.077754020690918
"영상 잘 봤습니다! 근데 더 룸은 고의적으로 엉망으로 만든 게 아니라, 원래는 드라마 장르로 만들었다가, 너무 못 만들어서 관객들이 오히려 웃으니까 감독님이 이거 코미디였다라고 했던 것으로 알고 있었는데 아니었나요?",큐베다이스키,6,3.058177947998047
이 영화 개저퀄이라서 더 기괴하고 꿈에 나올까 무서움.,Pow Trendy,25,8.046808242797852
클레멘타인과 다음으로 전설의 항암제 영화....!,김지훈,7,1.1724501848220825
이거 엄마가 사서 봤었는데 보고 처음으로 엄마의 욕을 들음,불꺼,182,3.637906074523926
즐거운 나의 집으로 시작하여 베사메무쵸로 끝을 낸 영화,서하임,11,8.147637367248535
못 만든 영화를 소개하는 줄 알았는데 일부러 못 만든 영화라서 소개하신 거였군요 ㅋㅋㅋㅋㅋ,윤원일,203,7.066751003265381
이거 명작인데...,개나리,17,8.094841957092285
사실 클레멘타인이 무서운 집보다 더 대단한 영화죠. 무서운 집은 그래도 일부러 병맛을 내려고 의도한 작품인데 클레멘타인은 진지하게 찍었는데 병맛이니 무서운 집은 갓레멘타인 미만잡이라는 데에 한 표 주겠습니다.,박종성,630,0.5048324465751648
이게 정신질환환자 관찰카메라가 아니라 진지하게 만든 영.화라는거죠?ㅋㅋㅋㅋ 미쳨ㅋㅋㅋㅋㅋ,야옹야옹,50,8.570213317871094
컬트영화로써 진짜 잘 만든 것 같다. 오히려 진지하게 호러라고 함으로서  더 엽기적이고 코믹하게 해준다.,선동당한학생.,14,8.808727264404297
이영화 개봉당시 화제가 많이되어 저도관심가지고 지켜봐는데 감독이 일부러 틀을파괴하고자 의도했다는 이야기도하고 일부러 극저퀄에 배우도연기 못하게 디렉팅해서 촬영하면서 많이힘들어했다는 이전설적인영화 ㄷㄷ ㅎㅎ 최애영화인데 소개해주셨네요,CH.비디오가게,604,4.8115763664245605
"이 영화는 정말로 잘만든 명작이다.  리얼라이프와 호러가 섞인 참신한 주제을 다루고있다. 나는 이걸 보고 망작이라고 예상하였다 하지만 리얼라이프와 호러를 다룬 참신함과 부엌칼 50단의 엄청난 액션신과 전투신, 김장하는 법  그부분은 모든 사람이 호평한 명장면이라고 할수있는 부분이다. 이영화을 봐라 지금까지 우리가 봤던 호러와는 완전히 다른 참신한 영화다.",빨간딱지,45,8.28683853149414
이건 망작이 아닙니다. 컬트 영상입니다,Pluto,346,4.389111518859863
뉴타입 호러 ㅋㅋㅋ,민호타우르스,815,7.209096908569336
"나 이거 노타임노씨에서 봤음, 근데 일부러 못만들어도 적어도 패러디가 있던가, 웃음코드라도 있던가, 메세지를주던가, 기존 공포물 클리셰를까던가.  그냥 못 만들기만 하면 애들보고 만들라고 하는거랑 뭐가다름?",에딧비[EditBee],113,4.466337203979492
진짜 이런 영화가 있단말야? 진짜 부엌칼 50단~ ㅋㅋ  무섭당ㅋㅋ,식빵굽는고양이,193,7.601988792419434
너무 무섭다,Scott Nominos,119,7.995180606842041
와 이거 ㄹㅇ 개띵작 대한민국 최고의 공포영화입니다.,백광명,194,8.472029685974121
이거 감독 인터뷰 영상보니까 일부러 저렇게 조잡하게 만든거라네요,シゲバルセキニョン,282,1.534456729888916
"아하 컬트영화라는건 잘 들어본적 없는데, 알려주셔서 감사합니다.  웃음이 필요할때 보겠습니다.♡",soul crash play,103,9.245930671691895
클레멘타인 : 보면 우주가 보인다. 무서운집 : 내가 우주다,조원형,823,2.029654026031494
